,"Carbon_source,  Flux_value"
EX_salchs4_e,0.0
EX_salcn_e,1.0339141157183998
EX_sbt__D_e,1.0929949223308775
EX_so3_e,0.0
EX_s_e,0.0
EX_sucr_e,2.048134629232623
EX_T4hcinnm_e,0.0
EX_tartr__D_e,0.0
EX_tartr__L_e,0.0
EX_tet_e,0.0
EX_thm_e,0.0
EX_thymd_e,0.0
EX_tma_e,0.0
EX_tmao_e,0.0
EX_tol_e,0.0
EX_tre_e,2.048134629232633
EX_tsul_e,0.0
EX_ttdcea_e,0.0
EX_tym_e,0.0
EX_uacgam_e,0.0
EX_udcpp_e,0.0
EX_ura_e,0.0
EX_xan_e,0.0
EX_xtsn_e,0.0
EX_xyl__D_e,0.843542627744854
